id,horaInicio,HoraFin,created_at,updated_at
1,7:30:00,8:10:00,2024-06-07  5:32:46,2024-06-07  5:32:46
2,8:10:00,8:50:00,2024-06-07  5:32:46,2024-06-07  5:32:46
3,8:50:00,9:30:00,2024-06-07  5:32:46,2024-06-07  5:32:46
4,9:30:00,10:10:00,2024-06-07  5:32:46,2024-06-07  5:32:46
5,9:50:00,10:30:00,2024-06-07  5:32:46,2024-06-07  5:32:46
6,10:10:00,10:30:00,2024-06-07  5:32:46,2024-06-07  5:32:46
7,10:30:00,11:10:00,2024-06-07  5:32:46,2024-06-07  5:32:46
8,11:10:00,11:50:00,2024-06-07  5:32:46,2024-06-07  5:32:46
9,11:50:00,12:30:00,2024-06-07  5:32:46,2024-06-07  5:32:46
